dataSource,dataSource_secondary,sourceID,species,dataType,date,time,latitude,longitude,positionalError_meters,specificGeography,dataNotes
ODNR (Diversity Database),NA,1899600,Long-tailed weasel,Museum specimen,8/23/2003,NA,40.911111,-81.476667,0,,
ODNR (Diversity Database),NA,5863,Long-tailed weasel,Museum specimen,6/27/1982,NA,41.4784,-81.4639,1609.34,,
ODNR (Diversity Database),NA,6283,Long-tailed weasel,Museum specimen,7/16/1935,NA,41.5667,-81.4389,4828.03,,
ODNR (Diversity Database),NA,6284,Long-tailed weasel,Museum specimen,7/16/1935,NA,41.5667,-81.4389,4828.03,,
ODNR (Diversity Database),NA,6409,Long-tailed weasel,Museum specimen,8/29/1935,NA,41.5667,-81.4389,4828.03,,
ODNR (Diversity Database),NA,6410,Long-tailed weasel,Museum specimen,8/29/1935,NA,41.5667,-81.4389,4828.03,,
ODNR (Diversity Database),NA,4392,Long-tailed weasel,Museum specimen,12/3/1929,NA,41.4297,-81.3906,1414.21,,
ODNR (Diversity Database),NA,4393,Long-tailed weasel,Museum specimen,12/3/1929,NA,41.4297,-81.3906,1414.21,,
ODNR (Diversity Database),NA,17925,Long-tailed weasel,Museum specimen,8/3/1981,NA,41.3383,-81.3775,8046.72,,
ODNR (Diversity Database),NA,13221,Long-tailed weasel,Museum specimen,5/29/1930,NA,41.6291,-81.3617,1414.21,,
ODNR (Diversity Database),NA,13222,Long-tailed weasel,Museum specimen,5/30/1930,NA,41.6291,-81.3617,1414.21,,
ODNR (Diversity Database),NA,13223,Long-tailed weasel,Museum specimen,6/3/1930,NA,41.6291,-81.3617,1414.21,,
ODNR (Diversity Database),NA,13224,Long-tailed weasel,Museum specimen,6/3/1930,NA,41.6291,-81.3617,1414.21,,
ODNR (Diversity Database),NA,13728,Long-tailed weasel,Museum specimen,7/5/1935,NA,41.6662,-81.3396,1609.34,,
ODNR (Diversity Database),NA,13886,Long-tailed weasel,Museum specimen,7/22/1974,NA,41.6663,-81.3396,1609.34,,
ODNR (Diversity Database),NA,13264,Long-tailed weasel,Museum specimen,12/22/1930,NA,41.6291,-81.3072,1609.34,,
ODNR (Diversity Database),NA,13265,Long-tailed weasel,Museum specimen,12/22/1930,NA,41.6291,-81.3072,1609.34,,
ODNR (Diversity Database),NA,13336,Long-tailed weasel,Museum specimen,8/2/1933,NA,41.6291,-81.3072,1609.34,,
ODNR (Diversity Database),NA,13337,Long-tailed weasel,Museum specimen,8/2/1933,NA,41.6291,-81.3072,1609.34,,
ODNR (Diversity Database),NA,13354,Long-tailed weasel,Museum specimen,1/2/1934,NA,41.6291,-81.3072,1609.34,,
ODNR (Diversity Database),NA,14356,Long-tailed weasel,Museum specimen,10/31/1938,NA,41.6139,-81.3,4828.03,,
ODNR (Diversity Database),NA,14357,Long-tailed weasel,Museum specimen,10/31/1938,NA,41.6139,-81.3,4828.03,,
ODNR (Diversity Database),NA,14531,Long-tailed weasel,Museum specimen,8/30/1987,NA,41.6139,-81.3,4828.03,,
ODNR (Diversity Database),NA,13891,Long-tailed weasel,Museum specimen,NA,NA,41.725,-81.2456,1609.34,,
ODNR (Diversity Database),NA,10029,Long-tailed weasel,Museum specimen,NA,NA,41.4633,-81.2442,1414.21,,
ODNR (Diversity Database),NA,8838,Long-tailed weasel,Museum specimen,7/21/1983,NA,41.5222,-81.2006,1609.34,,
ODNR (Diversity Database),NA,17829,Long-tailed weasel,Museum specimen,11/29/1930,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17830,Long-tailed weasel,Museum specimen,11/29/1930,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17831,Long-tailed weasel,Museum specimen,11/29/1930,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17832,Long-tailed weasel,Museum specimen,11/29/1930,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17838,Long-tailed weasel,Museum specimen,1/28/1931,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17840,Long-tailed weasel,Museum specimen,8/19/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17841,Long-tailed weasel,Museum specimen,8/19/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17842,Long-tailed weasel,Museum specimen,8/19/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17843,Long-tailed weasel,Museum specimen,8/19/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17846,Long-tailed weasel,Museum specimen,8/26/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17849,Long-tailed weasel,Museum specimen,10/30/1932,NA,41.2056,-81.1478,1414.21,,
